id,type,name,yearpublished,minplayers,maxplayers,playingtime,minplaytime,maxplaytime,minage,users_rated,average_rating,bayes_average_rating,total_owners,total_traders,total_wanters,total_wishers,total_comments,total_weights,average_weight
2302,boardgame,Bill Oddie's Great Bird Race Game,1988,2,6,240,240,240,0,2,6,0,4,0,0,0,0,0,0
2305,boardgame,Murder Mystery Party: Revenge in Rome,1985,6,6,60,60,60,16,4,5.5,0,17,4,0,0,3,1,2
2306,boardgame,Bewitched,1988,2,4,45,45,45,8,28,4.93571,0,40,0,4,4,16,0,0
2309,boardgame,Noah's Ark,1986,2,4,45,45,45,0,4,4.75,0,3,0,1,1,2,1,2
2315,boardgame,Saratoga: 1777,1974,2,2,90,90,90,0,29,5.37586,0,90,8,3,2,16,6,2.6667
2320,boardgame,Worldbeater,1975,3,6,240,240,240,12,28,5.67857,0,59,7,2,3,9,3,1.3333
2321,boardgame,Letres,1998,1,4,20,20,20,7,23,5.26087,0,58,5,1,1,14,2,1.5
2325,boardgame,Monotony,1984,2,4,90,90,90,8,2,5,0,6,0,1,1,1,1,2
2328,boardgame,StarRunner,1985,1,6,120,120,120,12,3,5,0,11,0,4,9,2,1,3
2329,boardgame,Energy Quest,1977,2,6,120,120,120,0,4,6,0,18,2,0,0,1,0,0
2330,boardgame,Medical Monopoly,1979,2,4,90,90,90,8,6,4.16667,0,26,5,0,1,4,1,1
2333,boardgame,Hacker,1991,3,6,180,180,180,12,26,5.38462,0,67,7,3,2,11,0,0
2345,boardgameexpansion,Groo: The Game  Expansion Set,1997,2,6,45,45,45,10,368,6.64024,5.87053,658,32,35,41,125,32,1.5313
2351,boardgame,Mbogo,1966,2,5,20,20,20,0,2,5.5,0,1,0,2,0,1,0,0
2355,boardgameexpansion,The Artifact,2001,3,8,120,120,120,10,11,7.59091,0,100,1,56,122,24,1,4
2357,boardgame,Nizza,1993,2,6,60,60,60,8,27,4.7037,0,47,3,6,3,12,1,2
2359,boardgame,Schatztaucher,1992,3,6,45,45,45,8,7,5.14286,0,27,3,0,1,4,0,0
2360,boardgame,Sekt oder Selters,1992,2,4,30,30,30,8,6,6.5,0,34,2,0,1,4,0,0
2365,boardgame,Sunset Blvd.,1992,2,6,30,30,30,8,11,5.27273,0,62,6,0,0,4,1,1
2374,boardgame,Yukk!,2001,3,5,10,10,10,7,11,4.99091,0,24,2,2,1,7,3,1
2377,boardgame,Kommissar,1966,2,4,60,60,60,8,14,5.46429,0,35,3,2,4,5,2,1
2378,boardgame,Drachenfels,1986,2,4,90,90,90,8,26,5.05577,0,68,5,4,12,13,1,2
2382,boardgame,Sea-Fleet,1991,2,2,25,25,25,8,4,3.25,0,22,2,0,1,4,0,0
2390,boardgame,Race to Riches,1989,2,4,45,45,45,10,29,5.56897,0,114,11,1,1,14,5,1.8
